attribute,SHIFT AI,DMM 生成AICAMP,侍エンジニア
official_url,https://sss.ac01.l-ad.net/cl/p1a64143O61e70f7/?bid=f39ab6dDb4C8D788,https://generative-ai.web-camp.io/,https://generative-ai.sejuku.net/?filter_tag=generativeai
seminar_url,https://sss.ac01.l-ad.net/cl/p1a64143O61e70f7/?bid=Ye1Yd6d632b8d762,https://generative-ai.web-camp.io/#aboveCounselingTab,https://generative-ai.sejuku.net/?filter_tag=generativeai#samurai-calendar-entry
summary-cta-copy,【完全無料】ChatGPTセミナー開催中,大手DMMが運営！最短4週間でChatGPT習得,現役プロが教える！給付金で最大70%OFF
button_seminar_text,無料セミナーに<br>参加する,無料カウンセリングに参加する,無料カウンセリングに参加する
benefits_list,【期間限定無料】ChatGPTセミナー参加で12大特典！,大手DMMが運営！実務直結のChatGPTスキル習得,現役エンジニアがマンツーマン指導！給付金最大70%OFF
button_benefits_text,無料セミナーに<br>参加する,無料カウンセリングに参加する,無料カウンセリングに参加する
