attribute,SHIFT AI,DMM 生成AICAMP,侍エンジニア
official_url,https://sss.ac01.l-ad.net/cl/p1a64143O61e70f7/?bid=f39ab6dDb4C8D788,https://generative-ai.web-camp.io/,https://generative-ai.sejuku.net/?filter_tag=generativeai
seminar_url,https://sss.ac01.l-ad.net/cl/p1a64143O61e70f7/?bid=Ye1Yd6d632b8d762,https://generative-ai.web-camp.io/#aboveCounselingTab,https://generative-ai.sejuku.net/?filter_tag=generativeai#samurai-calendar-entry
summary-cta-copy,【完全無料】実践的なAI活用術が学べる！通常1万円→今なら0円,大手DMMが運営！明日から使える実践AIスキル,現役プロが教える！実務直結の生成AI活用術
button_seminar_text,今すぐ無料セミナーに<br>参加する,無料カウンセリングに参加する,無料カウンセリングに参加する
benefits_list,【期間限定無料】実践的AI活用セミナー＋12大特典プレゼント！,大手DMMが運営！最短4週間で実務に使えるAIスキル習得,現役エンジニアがマンツーマン指導！実務活用に特化
button_benefits_text,無料セミナーに<br>今すぐ参加する,無料カウンセリングに参加する,無料カウンセリングに参加する
