attribute,SHIFT AI,DMM 生成AICAMP,侍エンジニア
tab2_col1,"20,000人以上",記載なし,記載なし
tab2_col2,◎<br><br>利用者数No.1,◎<br><br>受講者数No.1,◎<br><br>転職成功率99％(スクール全体)
tab2_col3,94.3％<br>セミナー満足度,初心者〜中級者の満足度高め,講師の満足度が高い
tab3_col1,オンライン講座<br>ライブセミナー,オンライン<br>課題提出型,マンツーマンのオンライン授業
tab3_col2,国内最大級<br>オフライン交流あり,受講者同士で相談できる,卒業後もイベントや勉強会あり
tab3_col3,ほぼ毎日ウェビナーを開催,いつでも無料,前日まで無料
tab4_col1,◎<br><br>講師100名以上,◎<br>チャット・ビデオ相談あり,◎<br>マンツーマンのメンターへ相談
tab4_col2,◎<br><br>案件紹介あり,ー<br>(記載なし),◎<br><br>副業支援あり
tab4_col3,◎<br><br>返金保証あり,ー<br>(記載なし),◎<br><br>返金保証あり
