attribute,SHIFT AI,DMM 生成AICAMP,侍エンジニア
official_url,https://sss.ac01.l-ad.net/cl/p1a64143O61e70f7/?bid=f39ab6dDb4C8D788,https://generative-ai.web-camp.io/,https://generative-ai.sejuku.net/?filter_tag=generativeai
seminar_url,https://sss.ac01.l-ad.net/cl/p1a64143O61e70f7/?bid=Ye1Yd6d632b8d762,https://generative-ai.web-camp.io/#aboveCounselingTab,https://generative-ai.sejuku.net/?filter_tag=generativeai#samurai-calendar-entry
summary-cta-copy,通常1万円の有料セミナーが今なら参加無料！,大手DMMが運営するAIスクール,実務活用に特化した生成AIスクール
button_seminar_text,無料セミナーに<br>参加する,無料カウンセリングに参加する,無料カウンセリングに参加する
benefits_list,通常1万円の有料セミナーが今なら参加無料！,大手DMMが運営！専門別に選べるAIスクール,プログラミングスクールが運営の上級者向けスクール
button_benefits_text,無料セミナーに<br>参加する,無料カウンセリングに参加する,無料カウンセリングに参加する
