attribute,SHIFT AI,DMM 生成AICAMP,侍エンジニア
official_url,https://l.shift-ai.co.jp/,https://example.com/dmmai,https://example.com/samuraiai
seminar_url,https://shift-ai.co.jp/%E8%AA%AC%E6%98%8E%E4%BC%9A%E3%83%95%E3%82%A9%E3%83%BC%E3%83%A0/,https://example.com/dmmai/seminar,https://example.com/samuraiai/seminar
summary-cta-copy,通常1万円の有料セミナーが今なら参加無料！,大手DMMが運営するAIスクール,実務活用に特化した生成AIスクール
button_seminar_text,無料セミナーに<br>参加する,無料カウンセリングに参加する,無料カウンセリングに参加する
benefits_list,通常1万円の有料セミナーが今なら参加無料！,大手DMMが運営！専門別に選べるAIスクール,プログラミングスクールが運営の上級者向けスクール
